code,i_date,time,open,high,low,close,vol,amount
HKHSI,657993600,1990-11-08,2952.0,2952.8701,2911.4399,2932.4399,0,0
HKHSI,658080000,1990-11-09,2932.0,2934.1699,2921.8501,2932.9199,0,0
HKHSI,658339200,1990-11-12,2935.3799,2970.3201,2935.3799,2949.5601,0,0
HKHSI,658425600,1990-11-13,2957.4199,2998.97,2957.4199,2998.97,0,0
HKHSI,658512000,1990-11-14,2998.0,3014.4399,2989.8201,3006.8201,0,0
HKHSI,658598400,1990-11-15,3005.0,3010.8201,2987.3899,2990.47,0,0
HKHSI,658684800,1990-11-16,2988.0,3016.72,2985.8501,3008.6599,0,0
HKHSI,658944000,1990-11-19,3008.6599,3047.6499,3008.6599,3042.5801,0,0
HKHSI,659030400,1990-11-20,3042.0,3051.0801,3030.8799,3031.9199,0,0
HKHSI,659116800,1990-11-21,3031.0,3031.9199,2991.9399,3013.6599,0,0
HKHSI,659203200,1990-11-22,3013.6599,3038.9399,3013.6599,3023.0801,0,0
HKHSI,659289600,1990-11-23,3020.0,3020.1799,3003.75,3016.0601,0,0
HKHSI,659548800,1990-11-26,3016.0,3017.48,2983.54,2995.52,0,0
HKHSI,659635200,1990-11-27,2995.0,2999.4099,2974.4399,2998.9399,0,0
HKHSI,659721600,1990-11-28,2998.0,3003.96,2972.73,2986.3899,0,0
HKHSI,659808000,1990-11-29,2985.0,2985.46,2972.0601,2978.3501,0,0
HKHSI,659894400,1990-11-30,2978.0,2978.3501,2956.7,2965.0601,0,0
HKHSI,660153600,1990-12-03,2970.79,3020.24,2970.79,3020.1699,0,0
HKHSI,660240000,1990-12-04,3020.0,3022.75,2996.21,3020.8401,0,0
HKHSI,660326400,1990-12-05,3019.8,3070.77,3019.8,3066.23,0,0
HKHSI,660412800,1990-12-06,3067.6499,3128.1499,3067.6499,3126.79,0,0
HKHSI,660499200,1990-12-07,3126.0,3175.53,3123.1399,3163.6899,0,0
HKHSI,660758400,1990-12-10,3163.0,3165.8701,3138.3799,3149.1299,0,0
HKHSI,660844800,1990-12-11,3149.0,3149.77,3128.05,3144.6201,0,0
HKHSI,660931200,1990-12-12,3144.0,3160.79,3142.9099,3160.79,0,0
HKHSI,661017600,1990-12-13,3160.0,3178.4299,3148.5801,3150.1201,0,0
HKHSI,661104000,1990-12-14,3150.0,3150.1201,3123.75,3125.6899,0,0
HKHSI,661363200,1990-12-17,3124.0,3124.27,3045.3,3051.9199,0,0
HKHSI,661449600,1990-12-18,3045.0,3072.5801,3022.48,3066.6499,0,0
HKHSI,661536000,1990-12-19,3066.5701,3093.8601,3066.5701,3083.4399,0,0
HKHSI,661622400,1990-12-20,3083.0,3087.1899,3072.8101,3078.21,0,0
HKHSI,661708800,1990-12-21,3077.0,3082.1499,3049.3101,3079.6699,0,0
HKHSI,661968000,1990-12-24,3079.0,3079.6699,3049.77,3060.95,0,0
HKHSI,662227200,1990-12-27,3060.0,3069.0,3050.25,3066.71,0,0
HKHSI,662313600,1990-12-28,3066.0,3066.4399,3049.72,3053.73,0,0
HKHSI,662572800,1990-12-31,3053.0,3055.1499,3012.48,3024.55,0,0
